Health Category,Health Area,Score,Biomarker,Color,Evidence,Conventional
Brain Health,Depression,80,C-reactive protein,red,2,TRUE
Brain Health,Depression,80,Haptoglobin,red,1,FALSE
Brain Health,Alzheimer's disease,30,Creatinine,red,3,TRUE
Brain Health,Alzheimer's disease,30,Homocysteine,red,4,FALSE
Brain Health,Alzheimer's disease,30,Long Chain Acylcarnitines,red,3,FALSE
Brain Health,Alzheimer's disease,30,Sphingomyeline C16:0,yellow,3,FALSE
Brain Health,Alzheimer's disease,30,Sphingomyeline C20:2,red,1,FALSE
Brain Health,Alzheimer's disease,30,Apolipoprotein A-I,red,4,FALSE
Brain Health,Alzheimer's disease,30,Alpha-2-HS-glycoprotein,red,3,FALSE
Gut Health,Inflammatory bowel disease,20,C-reactive protein,red,4,TRUE
Gut Health,Inflammatory bowel disease,20,Serum albumin,red,4,FALSE
Gut Health,Inflammatory bowel disease,20,Glutamine,red,4,FALSE
Gut Health,Inflammatory bowel disease,20,Angiogenin,red,1,FALSE
Gut Health,Inflammatory bowel disease,20,Lipopolysaccharide-binding protein,red,1,FALSE
Gut Health,Inflammatory bowel disease,20,Phenylalanine,red,3,FALSE
Gut Health,Inflammatory bowel disease,20,Lactic acid,red,3,FALSE
Gut Health,Inflammatory bowel disease,20,beta-Hydroxybutyric acid,red,4,FALSE
Gut Health,Inflammatory bowel disease,20,Retinol-binding protein 4,red,4,FALSE
Gut Health,Inflammatory bowel disease,20,Complement C3,red,4,FALSE
Gut Health,Inflammatory bowel disease,20,Intercellular adhesion molecule 1,red,1,FALSE
Gut Health,Inflammatory bowel disease,20,Ceruloplasmin,red,4,FALSE
Heart Health,Hypertension,80,Retinol-binding protein 4,red,4,FALSE
Heart Health,Hypertension,80,Complement C3,red,1,FALSE
Heart Health,Heart attack,65,C-reactive protein,red,4,TRUE
Heart Health,Heart attack,65,Apolipoprotein A-IV,yellow,1,FALSE
Heart Health,Heart attack,65,Complement C3,red,2,FALSE
Heart Health,Heart attack,65,Apolipoprotein A-I,red,4,FALSE
